epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.718727,1.04231,2.64937,1.37974,0.77166,0.83333,0.8885,0.6543,1.43525,1.40122,1.28202,0,0,0
2,1.35031,1.06666,3.00608,1.39911,0.80665,0.75,0.87458,0.64242,1.45841,1.41152,1.28874,1.17822e-06,1.17822e-06,1.17822e-06
3,1.9863,0.79364,2.97237,1.2989,0.75289,0.75,0.87432,0.63408,1.47948,1.43361,1.3017,2.33288e-06,2.33288e-06,2.33288e-06
4,2.59956,1.42881,2.79216,1.93202,0.70594,0.75,0.87471,0.60305,1.493,1.46306,1.30805,3.46397e-06,3.46397e-06,3.46397e-06
5,3.21055,1.17199,3.50458,1.647,0.6812,0.75,0.87495,0.6013,1.50895,1.4648,1.3127,4.5715e-06,4.5715e-06,4.5715e-06
6,3.81735,1.03615,2.57408,1.33091,0.68355,0.75,0.87497,0.58939,1.52797,1.50226,1.32201,5.65548e-06,5.65548e-06,5.65548e-06
7,4.43608,1.0277,2.59739,1.35319,0.6903,0.75,0.88912,0.58902,1.5482,1.54001,1.33922,6.71588e-06,6.71588e-06,6.71588e-06
8,5.05347,0.93956,2.3353,1.27828,0.83438,0.58333,0.88897,0.60295,1.57091,1.61918,1.36619,7.75273e-06,7.75273e-06,7.75273e-06
9,5.67512,1.12568,3.48268,1.40439,0.80576,0.58333,0.8335,0.61125,1.57338,1.65211,1.36517,8.76602e-06,8.76602e-06,8.76602e-06
10,6.29589,0.98467,2.59853,1.22777,0.79,0.58333,0.83372,0.59474,1.56186,1.6965,1.36945,9.75574e-06,9.75574e-06,9.75574e-06
11,6.92115,1.2891,2.8201,1.51008,0.76734,0.58333,0.75132,0.58657,1.56022,1.7468,1.37745,1.07219e-05,1.07219e-05,1.07219e-05
12,7.54778,0.90409,2.20322,1.31838,0.74571,0.58333,0.75056,0.5865,1.54905,1.77032,1.37176,1.16645e-05,1.16645e-05,1.16645e-05
13,8.17295,1.09581,2.3572,1.47651,0.71722,0.58333,0.75068,0.58653,1.54194,1.77443,1.36669,1.25835e-05,1.25835e-05,1.25835e-05
14,8.82867,1.04154,2.43562,1.37059,0.72864,0.58333,0.75091,0.56993,1.54718,1.79625,1.37285,1.3479e-05,1.3479e-05,1.3479e-05
15,9.46651,1.0857,1.78372,1.46121,0.75223,0.58333,0.74808,0.56881,1.53739,1.8285,1.36418,1.43509e-05,1.43509e-05,1.43509e-05
16,10.0758,1.01387,2.44569,1.46746,0.94713,0.39158,0.74903,0.56898,1.52956,1.87146,1.35888,1.51993e-05,1.51993e-05,1.51993e-05
17,10.6949,0.95366,2.31793,1.37603,0.94672,0.3917,0.6662,0.51841,1.52677,1.90165,1.35016,1.60241e-05,1.60241e-05,1.60241e-05
18,11.3016,1.17269,2.11362,1.47561,0.94672,0.3917,0.6662,0.51841,1.52677,1.90165,1.35016,1.68253e-05,1.68253e-05,1.68253e-05
19,11.9295,1.07112,1.68917,1.35631,0.94523,0.39222,0.63841,0.46172,1.5398,1.9505,1.36021,1.7603e-05,1.7603e-05,1.7603e-05
